?cls	?pred	?val	?synType
<https://w3id.org/pmd/co/PMD_0000653>	<http://www.w3.org/2000/01/rdf-schema#label>	"Bruchzähigkeitsprüfverfahren"@de	
<https://w3id.org/pmd/co/PMD_0000502>	<http://www.w3.org/2000/01/rdf-schema#label>	"2D"@en	
<http://purl.obolibrary.org/obo/BFO_0000018>	<http://www.w3.org/2000/01/rdf-schema#label>	"zero-dimensional spatial region"@en	
<https://w3id.org/pmd/co/PMD_0000807>	<http://www.w3.org/2000/01/rdf-schema#label>	"joining by primary shaping"@en	
<https://w3id.org/pmd/co/PMD_0000807>	<http://www.w3.org/2000/01/rdf-schema#label>	"Fügen durch Urformen"@de	
<https://w3id.org/pmd/co/PMD_0000950>	<http://www.w3.org/2000/01/rdf-schema#label>	"stimulating process"@en	
<https://w3id.org/pmd/co/PMD_0000845>	<http://www.w3.org/2000/01/rdf-schema#label>	"matrix role"@en	
<https://w3id.org/pmd/co/PMD_0050041>	<http://www.w3.org/2000/01/rdf-schema#label>	"silicate ceramics"@en	
<https://w3id.org/pmd/co/PMD_0000949>	<http://www.w3.org/2000/01/rdf-schema#label>	"stiffness"@en	
<https://w3id.org/pmd/co/PMD_0000534>	<http://www.w3.org/2000/01/rdf-schema#label>	"blank role"@en	
<https://w3id.org/pmd/co/PMD_0000534>	<http://www.w3.org/2000/01/rdf-schema#label>	"Rohling-Rolle"@de	
<http://purl.obolibrary.org/obo/CHEBI_49957>	<http://www.w3.org/2000/01/rdf-schema#label>	"xenon atom"	
<https://w3id.org/pmd/co/PMD_0000614>	<http://www.w3.org/2000/01/rdf-schema#label>	"Zerteilen"@de	
<https://w3id.org/pmd/co/PMD_0000614>	<http://www.w3.org/2000/01/rdf-schema#label>	"dividing"@en	
<https://w3id.org/pmd/co/PMD_0000831>	<http://www.w3.org/2000/01/rdf-schema#label>	"manufacturer role"@en	
<https://w3id.org/pmd/co/PMD_0020052>	<http://www.w3.org/2000/01/rdf-schema#label>	"portion of yttrium"@en	
<https://w3id.org/pmd/co/PMD_0050068>	<http://www.w3.org/2000/01/rdf-schema#label>	"Silicon Nitride (Si₃N₄)"@en	
<http://purl.obolibrary.org/obo/CHEBI_33369>	<http://www.w3.org/2000/01/rdf-schema#label>	"cerium"	
<https://w3id.org/pmd/co/PMD_0000600>	<http://www.w3.org/2000/01/rdf-schema#label>	"deteriorative property"@en	
<https://w3id.org/pmd/co/PMD_0050011>	<http://www.w3.org/2000/01/rdf-schema#label>	"syndiotactic polypropylene"@en	
<http://purl.obolibrary.org/obo/CHEBI_33301>	<http://www.w3.org/2000/01/rdf-schema#label>	"bismuth atom"	
<https://w3id.org/pmd/co/PMD_0000823>	<http://www.w3.org/2000/01/rdf-schema#label>	"machining geometrically undefined"@en	
<https://w3id.org/pmd/co/PMD_0000823>	<http://www.w3.org/2000/01/rdf-schema#label>	"Spanen Mit Geometrisch Unbestimmten Schneiden"@de	
<https://w3id.org/pmd/co/PMD_0000661>	<http://www.w3.org/2000/01/rdf-schema#label>	"glass"@en	
<https://w3id.org/pmd/co/PMD_0000927>	<http://www.w3.org/2000/01/rdf-schema#label>	"separating"@en	
<https://w3id.org/pmd/co/PMD_0000927>	<http://www.w3.org/2000/01/rdf-schema#label>	"Trennen"@de	
<https://w3id.org/pmd/co/PMD_0020200>	<http://www.w3.org/2000/01/rdf-schema#label>	"force"@en	
<https://w3id.org/pmd/co/PMD_0050054>	<http://www.w3.org/2000/01/rdf-schema#label>	"technical ceramics"@en	
<https://w3id.org/pmd/co/PMD_0050032>	<http://www.w3.org/2000/01/rdf-schema#label>	"synthetic rubber"@en	
<https://w3id.org/pmd/co/PMD_0000627>	<http://www.w3.org/2000/01/rdf-schema#label>	"emission of accoustic wave"@en	
<https://w3id.org/pmd/co/PMD_0020037>	<http://www.w3.org/2000/01/rdf-schema#label>	"portion of lithium"@en	
<https://w3id.org/pmd/co/PMD_0050046>	<http://www.w3.org/2000/01/rdf-schema#label>	"aluminosilicates"@en	
<https://w3id.org/pmd/co/PMD_0020103>	<http://www.w3.org/2000/01/rdf-schema#label>	"molar proportion"@en	
<https://w3id.org/pmd/co/PMD_0050024>	<http://www.w3.org/2000/01/rdf-schema#label>	"bisphenol a epoxy"@en	
<http://purl.obolibrary.org/obo/BFO_0000016>	<http://www.w3.org/2000/01/rdf-schema#label>	"disposition"@en	
<https://w3id.org/pmd/co/PMD_0000613>	<http://www.w3.org/2000/01/rdf-schema#label>	"discrete-event simulation"@en	
<https://w3id.org/pmd/co/PMD_0000978>	<http://www.w3.org/2000/01/rdf-schema#label>	"thermal conductivity"@en	
<https://w3id.org/pmd/co/PMD_0000891>	<http://www.w3.org/2000/01/rdf-schema#label>	"disconnected material entity aggregate"@en	
<http://purl.obolibrary.org/obo/CHEBI_49882>	<http://www.w3.org/2000/01/rdf-schema#label>	"rhenium atom"	
<https://w3id.org/pmd/co/PMD_0000971>	<http://www.w3.org/2000/01/rdf-schema#label>	"temperature measuring function"@en	
<https://w3id.org/pmd/co/PMD_0000971>	<http://www.w3.org/2000/01/rdf-schema#label>	"Temperaturmessfunktion"@de	
<https://w3id.org/pmd/co/PMD_0050062>	<http://www.w3.org/2000/01/rdf-schema#label>	"Non-Oxide Ceramics"@en	
<https://w3id.org/pmd/co/PMD_0000836>	<http://www.w3.org/2000/01/rdf-schema#label>	"mass spectrometry"@en	
<https://w3id.org/pmd/co/PMD_0000836>	<http://www.w3.org/2000/01/rdf-schema#label>	"Massenspektroskopie"@de	
<https://w3id.org/pmd/co/PMD_0050010>	<http://www.w3.org/2000/01/rdf-schema#label>	"isotactic polypropylene"@en	
<https://w3id.org/pmd/co/PMD_0000605>	<http://www.w3.org/2000/01/rdf-schema#label>	"differential scanning calorimeter"@en	
<https://w3id.org/pmd/co/PMD_0000605>	<http://www.w3.org/2000/01/rdf-schema#label>	"Differential-Scanning-Kalorimeter"@de	
<http://purl.obolibrary.org/obo/BFO_0000002>	<http://www.w3.org/2000/01/rdf-schema#label>	"continuant"@en	
<https://w3id.org/pmd/co/PMD_0000822>	<http://www.w3.org/2000/01/rdf-schema#label>	"Spanen Mit Geometrisch Bestimmten Schneiden"@de	
<https://w3id.org/pmd/co/PMD_0000822>	<http://www.w3.org/2000/01/rdf-schema#label>	"machining geometrically defined"@en	
<https://w3id.org/pmd/co/PMD_0000660>	<http://www.w3.org/2000/01/rdf-schema#label>	"generative deep learning"@en	
<https://w3id.org/pmd/co/PMD_0000660>	<http://www.w3.org/2000/01/rdf-schema#label>	"Generatives Deep Learning"@de	
<https://w3id.org/pmd/co/PMD_0000555>	<http://www.w3.org/2000/01/rdf-schema#label>	"chromatography function"@en	
<https://w3id.org/pmd/co/PMD_0000555>	<http://www.w3.org/2000/01/rdf-schema#label>	"Chromatographiefunktion"@de	
<https://w3id.org/pmd/co/PMD_0000786>	<http://www.w3.org/2000/01/rdf-schema#label>	"hybrid simulation"@en	
<https://w3id.org/pmd/co/PMD_0050009>	<http://www.w3.org/2000/01/rdf-schema#label>	"polypropylene"@en	
<https://w3id.org/pmd/co/PMD_0000852>	<http://www.w3.org/2000/01/rdf-schema#label>	"metal"@en	
<https://w3id.org/pmd/co/PMD_0020081>	<http://www.w3.org/2000/01/rdf-schema#label>	"portion of calcium"@en	
<https://w3id.org/pmd/co/PMD_0000541>	<http://www.w3.org/2000/01/rdf-schema#label>	"cnc machine"@en	
<https://w3id.org/pmd/co/PMD_0000541>	<http://www.w3.org/2000/01/rdf-schema#label>	"CNC-Maschine"@de	
<https://w3id.org/pmd/co/PMD_0000621>	<http://www.w3.org/2000/01/rdf-schema#label>	"electrical property"@en	
<https://w3id.org/pmd/co/PMD_0000508>	<http://www.w3.org/2000/01/rdf-schema#label>	"additive manufacturing device"@en	
<https://w3id.org/pmd/co/PMD_0000508>	<http://www.w3.org/2000/01/rdf-schema#label>	"Additive Fertigungsgerät"@de	
<https://w3id.org/pmd/co/PMD_0000956>	<http://www.w3.org/2000/01/rdf-schema#label>	"structural optimization simulation"@en	
<https://w3id.org/pmd/co/PMD_0000956>	<http://www.w3.org/2000/01/rdf-schema#label>	"Strukturoptimierungssimulation"@de	
<http://purl.obolibrary.org/obo/CHEBI_33391>	<http://www.w3.org/2000/01/rdf-schema#label>	"berkelium atom"	
<https://w3id.org/pmd/co/PMD_0020116>	<http://www.w3.org/2000/01/rdf-schema#label>	"aggregate state value"@en	
<http://purl.obolibrary.org/obo/IAO_0000033>	<http://www.w3.org/2000/01/rdf-schema#label>	"directive information entity"@en	
<https://w3id.org/pmd/co/PMD_0020066>	<http://www.w3.org/2000/01/rdf-schema#label>	"portion of ruthenium"@en	
<https://w3id.org/pmd/co/PMD_0050075>	<http://www.w3.org/2000/01/rdf-schema#label>	"oxide-oxide composites"@en	
<http://purl.obolibrary.org/obo/BFO_0000015>	<http://www.w3.org/2000/01/rdf-schema#label>	"process"@en	
<http://purl.obolibrary.org/obo/CHEBI_33376>	<http://www.w3.org/2000/01/rdf-schema#label>	"terbium atom"	
<http://purl.obolibrary.org/obo/CHEBI_26216>	<http://www.w3.org/2000/01/rdf-schema#label>	"potassium atom"	
<https://w3id.org/pmd/co/PMD_0050061>	<http://www.w3.org/2000/01/rdf-schema#label>	"Beryllia (BeO)"@en	
<https://w3id.org/pmd/co/PMD_0020058>	<http://www.w3.org/2000/01/rdf-schema#label>	"portion of cerium"@en	
<https://w3id.org/pmd/co/PMD_0000799>	<http://www.w3.org/2000/01/rdf-schema#label>	"ion spectrometer"@en	
<https://w3id.org/pmd/co/PMD_0000799>	<http://www.w3.org/2000/01/rdf-schema#label>	"Ionen-Spektrometer"@de	
<https://w3id.org/pmd/co/PMD_0050110>	<http://www.w3.org/2000/01/rdf-schema#label>	"potash lead glass"@en	
<https://w3id.org/pmd/co/PMD_0000554>	<http://www.w3.org/2000/01/rdf-schema#label>	"chemical property analyzing process"@en	
<https://w3id.org/pmd/co/PMD_0000554>	<http://www.w3.org/2000/01/rdf-schema#label>	"Chemische Eigenschaften Analyseverfahren"@de	
<https://w3id.org/pmd/co/PMD_0000785>	<http://www.w3.org/2000/01/rdf-schema#label>	"high temperature gas chromatography system"@en	
<https://w3id.org/pmd/co/PMD_0000785>	<http://www.w3.org/2000/01/rdf-schema#label>	"Hochtemperatur-Gaschromatographiesystem"@de	
<https://w3id.org/pmd/co/PMD_0000865>	<http://www.w3.org/2000/01/rdf-schema#label>	"multimodal deep learning"@en	
<https://w3id.org/pmd/co/PMD_0000865>	<http://www.w3.org/2000/01/rdf-schema#label>	"Multimodales Deep Learning"@de	
<https://w3id.org/pmd/co/PMD_0000851>	<http://www.w3.org/2000/01/rdf-schema#label>	"melting point"@en	
<https://w3id.org/pmd/co/PMD_0000969>	<http://www.w3.org/2000/01/rdf-schema#label>	"temperature change function"@en	
<https://w3id.org/pmd/co/PMD_0000969>	<http://www.w3.org/2000/01/rdf-schema#label>	"Temperaturänderungsfunktion"@de	
<https://w3id.org/pmd/co/PMD_0020044>	<http://www.w3.org/2000/01/rdf-schema#label>	"portion of tantalum"@en	
<https://w3id.org/pmd/co/PMD_0000900>	<http://www.w3.org/2000/01/rdf-schema#label>	"primary shaping by additive manufacturing"@en	
<https://w3id.org/pmd/co/PMD_0000900>	<http://www.w3.org/2000/01/rdf-schema#label>	"Urformen Durch Additive Fertigung"@de	
<https://w3id.org/pmd/co/PMD_0050038>	<http://www.w3.org/2000/01/rdf-schema#label>	"polyhydroxyalkanoates"@en	
<http://purl.obolibrary.org/obo/BFO_0000031>	<http://www.w3.org/2000/01/rdf-schema#label>	"generically dependent continuant"@en	
<https://w3id.org/pmd/co/PMD_0000908>	<http://www.w3.org/2000/01/rdf-schema#label>	"primary shaping from the pulpy or pasty state"@en	
<https://w3id.org/pmd/co/PMD_0000908>	<http://www.w3.org/2000/01/rdf-schema#label>	"Urformen Aus Dem Breiigen Oder Pastösen Zustand"@de	
<https://w3id.org/pmd/co/PMD_0000507>	<http://www.w3.org/2000/01/rdf-schema#label>	"acoustical property analyzing process"@en	
<https://w3id.org/pmd/co/PMD_0000507>	<http://www.w3.org/2000/01/rdf-schema#label>	"Akustische Eigenschaften Analyseverfahren"@de	
<https://w3id.org/pmd/co/PMD_0000620>	<http://www.w3.org/2000/01/rdf-schema#label>	"electrical conductivity"@en	
<https://w3id.org/pmd/co/PMD_0000584>	<http://www.w3.org/2000/01/rdf-schema#label>	"conditioning process"@en	
<https://w3id.org/pmd/co/PMD_0000584>	<http://www.w3.org/2000/01/rdf-schema#label>	"Konditionierungsprozess"@de	
<https://w3id.org/pmd/co/PMD_0001008>	<http://www.w3.org/2000/01/rdf-schema#label>	"waver irradiation"@en	
<http://purl.obolibrary.org/obo/BFO_0000023>	<http://www.w3.org/2000/01/rdf-schema#label>	"role"@en	
<https://w3id.org/pmd/co/PMD_0020079>	<http://www.w3.org/2000/01/rdf-schema#label>	"portion of arsenic"@en	
<https://w3id.org/pmd/co/PMD_0000768>	<http://www.w3.org/2000/01/rdf-schema#label>	"half-life"@en	
<http://purl.obolibrary.org/obo/CHEBI_33389>	<http://www.w3.org/2000/01/rdf-schema#label>	"americium atom"	
<https://w3id.org/pmd/co/PMD_0050123>	<http://www.w3.org/2000/01/rdf-schema#label>	"chemically strengthened glass"@en	
<https://w3id.org/pmd/co/PMD_0000619>	<http://www.w3.org/2000/01/rdf-schema#label>	"electric potential"@en	
<https://w3id.org/pmd/co/PMD_0000570>	<http://www.w3.org/2000/01/rdf-schema#label>	"coating from the granular or powdery state"@en	
<https://w3id.org/pmd/co/PMD_0000570>	<http://www.w3.org/2000/01/rdf-schema#label>	"Beschichten Aus Dem Körnigen Oder Pulverförmigen Zustand"@de	
<https://w3id.org/pmd/co/PMD_0020057>	<http://www.w3.org/2000/01/rdf-schema#label>	"portion of platinum"@en	
<https://w3id.org/pmd/co/PMD_0020095>	<http://www.w3.org/2000/01/rdf-schema#label>	"portion of titanium"@en	
<https://w3id.org/pmd/co/PMD_0000982>	<http://www.w3.org/2000/01/rdf-schema#label>	"thermal property analyzing process"@en	
<https://w3id.org/pmd/co/PMD_0000982>	<http://www.w3.org/2000/01/rdf-schema#label>	"Thermische Eigenschaften Analyseverfahren"@de	
<https://w3id.org/pmd/co/PMD_0000793>	<http://www.w3.org/2000/01/rdf-schema#label>	"initiator role"@en	
<https://w3id.org/pmd/co/PMD_0001024>	<http://www.w3.org/2000/01/rdf-schema#label>	"x-ray microanalysis system"@en	
<https://w3id.org/pmd/co/PMD_0001024>	<http://www.w3.org/2000/01/rdf-schema#label>	"Röntgenmikroanalyssystem"@de	
<https://w3id.org/pmd/co/PMD_0000597>	<http://www.w3.org/2000/01/rdf-schema#label>	"density"@en	
<https://w3id.org/pmd/co/PMD_0000913>	<http://www.w3.org/2000/01/rdf-schema#label>	"reinforcement learning"@en	
<https://w3id.org/pmd/co/PMD_0000913>	<http://www.w3.org/2000/01/rdf-schema#label>	"Reinforcement Learning"@de	
<https://w3id.org/pmd/co/PMD_0050108>	<http://www.w3.org/2000/01/rdf-schema#label>	"aluminosilicate glass"@en	
<https://w3id.org/pmd/co/PMD_0020087>	<http://www.w3.org/2000/01/rdf-schema#label>	"portion of bromine"@en	
<https://w3id.org/pmd/co/PMD_0001010>	<http://www.w3.org/2000/01/rdf-schema#label>	"wear testing process"@en	
<https://w3id.org/pmd/co/PMD_0001010>	<http://www.w3.org/2000/01/rdf-schema#label>	"Verschleißprüfverfahren"@de	
<https://w3id.org/pmd/co/PMD_0000583>	<http://www.w3.org/2000/01/rdf-schema#label>	"Rechenprozess"@de	
<https://w3id.org/pmd/co/PMD_0000583>	<http://www.w3.org/2000/01/rdf-schema#label>	"computing process"@en	
<https://w3id.org/pmd/co/PMD_0000583>	<http://www.w3.org/2000/01/rdf-schema#label>	"Datenverarbeitung"@de	
<https://w3id.org/pmd/co/PMD_0020004>	<http://www.w3.org/2000/01/rdf-schema#label>	"chemical composition specification"@en	
<http://purl.obolibrary.org/obo/BFO_0000148>	<http://www.w3.org/2000/01/rdf-schema#label>	"zero-dimensional temporal region"@en	
<https://w3id.org/pmd/co/PMD_0000528>	<http://www.w3.org/2000/01/rdf-schema#label>	"bandsaw"@en	
<https://w3id.org/pmd/co/PMD_0000528>	<http://www.w3.org/2000/01/rdf-schema#label>	"Bandsäge"@de	
<https://w3id.org/pmd/co/PMD_0000998>	<http://www.w3.org/2000/01/rdf-schema#label>	"ultraviolet visible spectrophotometer"@en	
<https://w3id.org/pmd/co/PMD_0000998>	<http://www.w3.org/2000/01/rdf-schema#label>	"Ultraviolett-Visible-Spektrophotometer"@de	
<https://w3id.org/pmd/co/PMD_0000767>	<http://www.w3.org/2000/01/rdf-schema#label>	"hacksaw"@en	
<https://w3id.org/pmd/co/PMD_0000767>	<http://www.w3.org/2000/01/rdf-schema#label>	"Bügelsäge"@de	
<https://w3id.org/pmd/co/PMD_0020073>	<http://www.w3.org/2000/01/rdf-schema#label>	"portion of iodine"@en	
<https://w3id.org/pmd/co/PMD_0050089>	<http://www.w3.org/2000/01/rdf-schema#label>	"yttrium barium copper oxide"@en	
<https://w3id.org/pmd/co/PMD_0050029>	<http://www.w3.org/2000/01/rdf-schema#label>	"urea formaldehyde"@en	
<https://w3id.org/pmd/co/PMD_0000575>	<http://www.w3.org/2000/01/rdf-schema#label>	"coating function"@en	
<https://w3id.org/pmd/co/PMD_0000575>	<http://www.w3.org/2000/01/rdf-schema#label>	"Beschichtungsfunktion"@de	
<https://w3id.org/pmd/co/PMD_0050072>	<http://www.w3.org/2000/01/rdf-schema#label>	"Titanium Diboride (TiB₂)"@en	
<https://w3id.org/pmd/co/PMD_0000879>	<http://www.w3.org/2000/01/rdf-schema#label>	"organization"@en	
<http://purl.obolibrary.org/obo/CHEBI_25195>	<http://www.w3.org/2000/01/rdf-schema#label>	"mercury atom"	
<https://w3id.org/pmd/co/PMD_0050152>	<http://www.w3.org/2000/01/rdf-schema#label>	"zirconium-based metallic glass"@en	
<https://w3id.org/pmd/co/PMD_0020001>	<http://www.w3.org/2000/01/rdf-schema#label>	"filler role"@en	
<https://w3id.org/pmd/co/PMD_0000648>	<http://www.w3.org/2000/01/rdf-schema#label>	"forming machine"@en	
<https://w3id.org/pmd/co/PMD_0000648>	<http://www.w3.org/2000/01/rdf-schema#label>	"Formmaschine"@de	
<http://purl.obolibrary.org/obo/CHEBI_25585>	<http://www.w3.org/2000/01/rdf-schema#label>	"nonmetal atom"	
<https://w3id.org/pmd/co/PMD_0001023>	<http://www.w3.org/2000/01/rdf-schema#label>	"x-ray mapping device"@en	
<https://w3id.org/pmd/co/PMD_0001023>	<http://www.w3.org/2000/01/rdf-schema#label>	"Röntgenkartierungsgerät"@de	
<http://purl.obolibrary.org/obo/CHEBI_33349>	<http://www.w3.org/2000/01/rdf-schema#label>	"dubnium atom"	
<https://w3id.org/pmd/co/PMD_0000591>	<http://www.w3.org/2000/01/rdf-schema#label>	"crystal structure"@en	
<https://w3id.org/pmd/co/PMD_0020086>	<http://www.w3.org/2000/01/rdf-schema#label>	"portion of gallium"@en	
<https://w3id.org/pmd/co/PMD_0020135>	<http://www.w3.org/2000/01/rdf-schema#label>	"stimulation target role"@en	
<https://w3id.org/pmd/co/PMD_0000942>	<http://www.w3.org/2000/01/rdf-schema#label>	"specific surface area"@en	
<http://purl.obolibrary.org/obo/CHEBI_194535>	<http://www.w3.org/2000/01/rdf-schema#label>	"moscovium atom"	
<https://w3id.org/pmd/co/PMD_0001015>	<http://www.w3.org/2000/01/rdf-schema#label>	"x-ray computed tomography"@en	
<https://w3id.org/pmd/co/PMD_0001015>	<http://www.w3.org/2000/01/rdf-schema#label>	"Röntgen-Computertomographie"@de	
<https://w3id.org/pmd/co/PMD_0000631>	<http://www.w3.org/2000/01/rdf-schema#label>	"empirical potential molecular dynamics simulation"@en	
<https://w3id.org/pmd/co/PMD_0000631>	<http://www.w3.org/2000/01/rdf-schema#label>	"Empirische Potential MD Simulation"@de	
<http://purl.obolibrary.org/obo/BFO_0000147>	<http://www.w3.org/2000/01/rdf-schema#label>	"fiat point"@en	
<https://w3id.org/pmd/co/PMD_0050137>	<http://www.w3.org/2000/01/rdf-schema#label>	"magnetic glass"@en	
<https://w3id.org/pmd/co/PMD_0050130>	<http://www.w3.org/2000/01/rdf-schema#label>	"thermochromic glass"@en	
<https://w3id.org/pmd/co/PMD_0050129>	<http://www.w3.org/2000/01/rdf-schema#label>	"photochromic glass"@en	
<https://w3id.org/pmd/co/PMD_0050080>	<http://www.w3.org/2000/01/rdf-schema#label>	"C-SiC Composites (Carbon-Silicon Carbide)"@en	
<https://w3id.org/pmd/co/PMD_0050115>	<http://www.w3.org/2000/01/rdf-schema#label>	"borate glass"@en	
<https://w3id.org/pmd/co/PMD_0020148>	<http://www.w3.org/2000/01/rdf-schema#label>	"extensive quality"@en	
<https://w3id.org/pmd/co/PMD_0000920>	<http://www.w3.org/2000/01/rdf-schema#label>	"saw"@en	
<https://w3id.org/pmd/co/PMD_0000535>	<http://www.w3.org/2000/01/rdf-schema#label>	"boiling point"@en	
<http://purl.obolibrary.org/obo/CHEBI_32594>	<http://www.w3.org/2000/01/rdf-schema#label>	"barium atom"	
<http://purl.obolibrary.org/obo/CHEBI_33521>	<http://www.w3.org/2000/01/rdf-schema#label>	"metal atom"	
<https://w3id.org/pmd/co/PMD_0000801>	<http://www.w3.org/2000/01/rdf-schema#label>	"irradiating"@en	
<https://w3id.org/pmd/co/PMD_0000801>	<http://www.w3.org/2000/01/rdf-schema#label>	"Bestrahlen"@de	
<https://w3id.org/pmd/co/PMD_0000870>	<http://www.w3.org/2000/01/rdf-schema#label>	"occurence of electic field"@en	
<https://w3id.org/pmd/co/PMD_0000809>	<http://www.w3.org/2000/01/rdf-schema#label>	"Fügen Durch Löten"@de	
<https://w3id.org/pmd/co/PMD_0000809>	<http://www.w3.org/2000/01/rdf-schema#label>	"joining by soldering"@en	
<https://w3id.org/pmd/co/PMD_0000905>	<http://www.w3.org/2000/01/rdf-schema#label>	"primary shaping from the ionized state"@en	
<https://w3id.org/pmd/co/PMD_0000905>	<http://www.w3.org/2000/01/rdf-schema#label>	"Urformen Aus DemIonisierten Zustand"@de	
<https://w3id.org/pmd/co/PMD_0020030>	<http://www.w3.org/2000/01/rdf-schema#label>	"portion of carbon"@en	
<https://w3id.org/pmd/co/PMD_0000056>	<http://www.w3.org/2000/01/rdf-schema#label>	"melting furnace"@en	
<https://w3id.org/pmd/co/PMD_0000056>	<http://www.w3.org/2000/01/rdf-schema#label>	"Schmelzofen"@de	
<https://w3id.org/pmd/co/PMD_0020134>	<http://www.w3.org/2000/01/rdf-schema#label>	"stimulus role"@en	
<https://w3id.org/pmd/co/PMD_0000589>	<http://www.w3.org/2000/01/rdf-schema#label>	"creep testing process"@en	
<https://w3id.org/pmd/co/PMD_0000589>	<http://www.w3.org/2000/01/rdf-schema#label>	"Kriechprüfverfahren"@de	
<http://purl.obolibrary.org/obo/CHEBI_29287>	<http://www.w3.org/2000/01/rdf-schema#label>	"gold atom"	
<https://w3id.org/pmd/co/PMD_0000886>	<http://www.w3.org/2000/01/rdf-schema#label>	"polishing machine"@en	
<https://w3id.org/pmd/co/PMD_0000886>	<http://www.w3.org/2000/01/rdf-schema#label>	"Poliermaschine"@de	
<https://w3id.org/pmd/co/PMD_0050093>	<http://www.w3.org/2000/01/rdf-schema#label>	"alumina-based ceramics"@en	
<https://w3id.org/pmd/co/PMD_0050128>	<http://www.w3.org/2000/01/rdf-schema#label>	"electrochromic glass"@en	
<https://w3id.org/pmd/co/PMD_0020150>	<http://www.w3.org/2000/01/rdf-schema#label>	"volume"@en	
<https://w3id.org/pmd/co/PMD_0020142>	<http://www.w3.org/2000/01/rdf-schema#label>	"energy"@en	
<https://w3id.org/pmd/co/PMD_0000814>	<http://www.w3.org/2000/01/rdf-schema#label>	"laboratory"@en	
<https://w3id.org/pmd/co/PMD_0000814>	<http://www.w3.org/2000/01/rdf-schema#label>	"Labor"@de	
<https://w3id.org/pmd/co/PMD_0000883>	<http://www.w3.org/2000/01/rdf-schema#label>	"photochemical process"@en	
<https://w3id.org/pmd/co/PMD_0000883>	<http://www.w3.org/2000/01/rdf-schema#label>	"Photochemische Verfahren"@de	
<https://w3id.org/pmd/co/PMD_0050002>	<http://www.w3.org/2000/01/rdf-schema#label>	"metallic bond"@en	
<https://w3id.org/pmd/co/PMD_0000652>	<http://www.w3.org/2000/01/rdf-schema#label>	"forming under tensile conditions"@en	
<https://w3id.org/pmd/co/PMD_0000652>	<http://www.w3.org/2000/01/rdf-schema#label>	"Zugumformen"@de	
<https://w3id.org/pmd/co/PMD_0000800>	<http://www.w3.org/2000/01/rdf-schema#label>	"ion spectroscopy"@en	
<https://w3id.org/pmd/co/PMD_0000800>	<http://www.w3.org/2000/01/rdf-schema#label>	"Ionenspektroskopie"@de	
<https://w3id.org/pmd/co/PMD_0000918>	<http://www.w3.org/2000/01/rdf-schema#label>	"rheometry"@en	
<https://w3id.org/pmd/co/PMD_0000918>	<http://www.w3.org/2000/01/rdf-schema#label>	"Rheometry"@de	
<https://w3id.org/pmd/co/PMD_0000899>	<http://www.w3.org/2000/01/rdf-schema#label>	"Urformen"@de	
<https://w3id.org/pmd/co/PMD_0000899>	<http://www.w3.org/2000/01/rdf-schema#label>	"primary shaping"@en	
<https://w3id.org/pmd/co/PMD_0000055>	<http://www.w3.org/2000/01/rdf-schema#label>	"cooling function"@en	
<https://w3id.org/pmd/co/PMD_0000055>	<http://www.w3.org/2000/01/rdf-schema#label>	"Kühlfunktion"@de	
<https://w3id.org/pmd/co/PMD_0050040>	<http://www.w3.org/2000/01/rdf-schema#label>	"natural ceramics"@en	
<https://w3id.org/pmd/co/PMD_0050144>	<http://www.w3.org/2000/01/rdf-schema#label>	"silicate-based bioactive glass"@en	
<https://w3id.org/pmd/co/PMD_0020108>	<http://www.w3.org/2000/01/rdf-schema#label>	"graphite"@en	
<https://w3id.org/pmd/co/PMD_0060007>	<http://www.w3.org/2000/01/rdf-schema#label>	"material specification"@en	
<https://w3id.org/pmd/co/PMD_0000668>	<http://www.w3.org/2000/01/rdf-schema#label>	"grips"@en	
<https://w3id.org/pmd/co/PMD_0000668>	<http://www.w3.org/2000/01/rdf-schema#label>	"Halterungsklemmen"@de	
<https://w3id.org/pmd/co/PMD_0000934>	<http://www.w3.org/2000/01/rdf-schema#label>	"Sintern"@de	
<https://w3id.org/pmd/co/PMD_0000934>	<http://www.w3.org/2000/01/rdf-schema#label>	"sintering"@en	
<https://w3id.org/pmd/co/PMD_0000772>	<http://www.w3.org/2000/01/rdf-schema#label>	"hardening by forming"@en	
<https://w3id.org/pmd/co/PMD_0000772>	<http://www.w3.org/2000/01/rdf-schema#label>	"Verfestigen Durch Umformen"@de	
<https://w3id.org/pmd/co/PMD_0000830>	<http://www.w3.org/2000/01/rdf-schema#label>	"manufacturer company"@en	
<https://w3id.org/pmd/co/PMD_0000830>	<http://www.w3.org/2000/01/rdf-schema#label>	"Hersteller"@de	
<https://w3id.org/pmd/co/PMD_0020155>	<http://www.w3.org/2000/01/rdf-schema#label>	"interatomic interaction energy"@en	
<http://purl.obolibrary.org/obo/CHEBI_33368>	<http://www.w3.org/2000/01/rdf-schema#label>	"roentgenium atom"	
<https://w3id.org/pmd/co/PMD_0000549>	<http://www.w3.org/2000/01/rdf-schema#label>	"change of temperature"@en	
<http://purl.obolibrary.org/obo/CHEBI_49475>	<http://www.w3.org/2000/01/rdf-schema#label>	"argon atom"	
<https://w3id.org/pmd/co/PMD_0050053>	<http://www.w3.org/2000/01/rdf-schema#label>	"fritted ceramics"@en	
<https://w3id.org/pmd/co/PMD_0000546>	<http://www.w3.org/2000/01/rdf-schema#label>	"ceramic"@en	
